iter	Passed	Remaining
0	0	45
1	0	40
2	1	39
3	1	38
4	1	37
5	2	37
6	2	36
7	3	35
8	3	34
9	3	31
10	3	31
11	4	31
12	4	31
13	5	30
14	5	30
15	5	30
16	6	30
17	6	29
18	6	29
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	26
26	9	26
27	10	25
28	10	25
29	10	24
30	11	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	14	22
39	14	21
40	14	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	20	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	25	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	9
77	30	8
78	30	8
79	31	7
80	31	7
81	31	7
82	32	6
83	32	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
